g,date,opponent,outcome,w,l,pts,opts,team_master,team_abbrev,season
40,"Thu, Jan 17, 2013",Minnesota Timberwolves,W,31,9,90,77,LAC,LAC,2013
41,"Sat, Jan 19, 2013",Washington Wizards,W,32,9,94,87,LAC,LAC,2013
42,"Mon, Jan 21, 2013",Golden State Warriors,L,32,10,99,106,LAC,LAC,2013
43,"Tue, Jan 22, 2013",Oklahoma City Thunder,L,32,11,97,109,LAC,LAC,2013
44,"Thu, Jan 24, 2013",Phoenix Suns,L,32,12,88,93,LAC,LAC,2013
45,"Sat, Jan 26, 2013",Portland Trail Blazers,L,32,13,100,101,LAC,LAC,2013
46,"Sun, Jan 27, 2013",Portland Trail Blazers,W,33,13,96,83,LAC,LAC,2013
47,"Wed, Jan 30, 2013",Minnesota Timberwolves,W,34,13,96,90,LAC,LAC,2013
48,"Fri, Feb 1, 2013",Toronto Raptors,L,34,14,73,98,LAC,LAC,2013
49,"Sun, Feb 3, 2013",Boston Celtics,L,34,15,104,106,LAC,LAC,2013
50,"Mon, Feb 4, 2013",Washington Wizards,L,34,16,90,98,LAC,LAC,2013
51,"Wed, Feb 6, 2013",Orlando Magic,W,35,16,86,76,LAC,LAC,2013
52,"Fri, Feb 8, 2013",Miami Heat,L,35,17,89,111,LAC,LAC,2013
53,"Sun, Feb 10, 2013",New York Knicks,W,36,17,102,88,LAC,LAC,2013
54,"Mon, Feb 11, 2013",Philadelphia 76ers,W,37,17,107,90,LAC,LAC,2013
55,"Wed, Feb 13, 2013",Houston Rockets,W,38,17,106,96,LAC,LAC,2013
56,"Thu, Feb 14, 2013",Los Angeles Lakers,W,39,17,125,101,LAC,LAC,2013
57,"Thu, Feb 21, 2013",San Antonio Spurs,L,39,18,90,116,LAC,LAC,2013
58,"Sat, Feb 23, 2013",Utah Jazz,W,40,18,107,94,LAC,LAC,2013
59,"Tue, Feb 26, 2013",Charlotte Bobcats,W,41,18,106,84,LAC,LAC,2013
60,"Thu, Feb 28, 2013",Indiana Pacers,W,42,18,99,91,LAC,LAC,2013
61,"Fri, Mar 1, 2013",Cleveland Cavaliers,W,43,18,105,89,LAC,LAC,2013
62,"Sun, Mar 3, 2013",Oklahoma City Thunder,L,43,19,104,108,LAC,LAC,2013
63,"Wed, Mar 6, 2013",Milwaukee Bucks,W,44,19,117,101,LAC,LAC,2013
64,"Thu, Mar 7, 2013",Denver Nuggets,L,44,20,92,107,LAC,LAC,2013
65,"Sun, Mar 10, 2013",Detroit Pistons,W,45,20,129,97,LAC,LAC,2013
66,"Wed, Mar 13, 2013",Memphis Grizzlies,L,45,21,85,96,LAC,LAC,2013
67,"Sun, Mar 17, 2013",New York Knicks,W,46,21,93,80,LAC,LAC,2013
68,"Tue, Mar 19, 2013",Sacramento Kings,L,46,22,101,116,LAC,LAC,2013
69,"Wed, Mar 20, 2013",Philadelphia 76ers,W,47,22,101,72,LAC,LAC,2013
70,"Sat, Mar 23, 2013",Brooklyn Nets,W,48,22,101,95,LAC,LAC,2013
71,"Tue, Mar 26, 2013",Dallas Mavericks,L,48,23,102,109,LAC,LAC,2013
72,"Wed, Mar 27, 2013",New Orleans Hornets,W,49,23,105,91,LAC,LAC,2013
73,"Fri, Mar 29, 2013",San Antonio Spurs,L,49,24,102,104,LAC,LAC,2013
74,"Sat, Mar 30, 2013",Houston Rockets,L,49,25,81,98,LAC,LAC,2013
75,"Mon, Apr 1, 2013",Indiana Pacers,L,49,26,106,109,LAC,LAC,2013
76,"Wed, Apr 3, 2013",Phoenix Suns,W,50,26,126,101,LAC,LAC,2013
77,"Sun, Apr 7, 2013",Los Angeles Lakers,W,51,26,109,95,LAC,LAC,2013
78,"Wed, Apr 10, 2013",Minnesota Timberwolves,W,52,26,111,95,LAC,LAC,2013
79,"Fri, Apr 12, 2013",New Orleans Hornets,W,53,26,96,93,LAC,LAC,2013
80,"Sat, Apr 13, 2013",Memphis Grizzlies,W,54,26,91,87,LAC,LAC,2013
81,"Tue, Apr 16, 2013",Portland Trail Blazers,W,55,26,93,77,LAC,LAC,2013
82,"Wed, Apr 17, 2013",Sacramento Kings,W,56,26,112,108,LAC,LAC,2013
1,"Tue, Oct 29, 2013",Los Angeles Lakers,L,0,1,103,116,LAC,LAC,2014
2,"Thu, Oct 31, 2013",Golden State Warriors,W,1,1,126,115,LAC,LAC,2014
3,"Fri, Nov 1, 2013",Sacramento Kings,W,2,1,110,101,LAC,LAC,2014
4,"Mon, Nov 4, 2013",Houston Rockets,W,3,1,137,118,LAC,LAC,2014
5,"Wed, Nov 6, 2013",Orlando Magic,L,3,2,90,98,LAC,LAC,2014
6,"Thu, Nov 7, 2013",Miami Heat,L,3,3,97,102,LAC,LAC,2014
7,"Sat, Nov 9, 2013",Houston Rockets,W,4,3,107,94,LAC,LAC,2014
8,"Mon, Nov 11, 2013",Minnesota Timberwolves,W,5,3,109,107,LAC,LAC,2014
9,"Wed, Nov 13, 2013",Oklahoma City Thunder,W,6,3,111,103,LAC,LAC,2014
10,"Sat, Nov 16, 2013",Brooklyn Nets,W,7,3,110,103,LAC,LAC,2014
11,"Mon, Nov 18, 2013",Memphis Grizzlies,L,7,4,102,106,LAC,LAC,2014
12,"Wed, Nov 20, 2013",Minnesota Timberwolves,W,8,4,102,98,LAC,LAC,2014
13,"Thu, Nov 21, 2013",Oklahoma City Thunder,L,8,5,91,105,LAC,LAC,2014
14,"Sat, Nov 23, 2013",Sacramento Kings,W,9,5,103,102,LAC,LAC,2014
15,"Sun, Nov 24, 2013",Chicago Bulls,W,10,5,121,82,LAC,LAC,2014
16,"Wed, Nov 27, 2013",New York Knicks,W,11,5,93,80,LAC,LAC,2014
17,"Fri, Nov 29, 2013",Sacramento Kings,W,12,5,104,98,LAC,LAC,2014
18,"Sun, Dec 1, 2013",Indiana Pacers,L,12,6,100,105,LAC,LAC,2014
19,"Wed, Dec 4, 2013",Atlanta Hawks,L,12,7,97,107,LAC,LAC,2014
20,"Thu, Dec 5, 2013",Memphis Grizzlies,W,13,7,101,81,LAC,LAC,2014
21,"Sat, Dec 7, 2013",Cleveland Cavaliers,L,13,8,82,88,LAC,LAC,2014
22,"Mon, Dec 9, 2013",Philadelphia 76ers,W,14,8,94,83,LAC,LAC,2014
23,"Wed, Dec 11, 2013",Boston Celtics,W,15,8,96,88,LAC,LAC,2014
24,"Thu, Dec 12, 2013",Brooklyn Nets,L,15,9,93,102,LAC,LAC,2014
25,"Sat, Dec 14, 2013",Washington Wizards,W,16,9,113,97,LAC,LAC,2014
26,"Mon, Dec 16, 2013",San Antonio Spurs,W,17,9,115,92,LAC,LAC,2014
27,"Wed, Dec 18, 2013",New Orleans Pelicans,W,18,9,108,95,LAC,LAC,2014
28,"Sat, Dec 21, 2013",Denver Nuggets,W,19,9,112,91,LAC,LAC,2014
29,"Sun, Dec 22, 2013",Minnesota Timberwolves,W,20,9,120,116,LAC,LAC,2014
30,"Wed, Dec 25, 2013",Golden State Warriors,L,20,10,103,105,LAC,LAC,2014
31,"Thu, Dec 26, 2013",Portland Trail Blazers,L,20,11,112,116,LAC,LAC,2014
32,"Sat, Dec 28, 2013",Utah Jazz,W,21,11,98,90,LAC,LAC,2014
33,"Mon, Dec 30, 2013",Phoenix Suns,L,21,12,88,107,LAC,LAC,2014
34,"Wed, Jan 1, 2014",Charlotte Bobcats,W,22,12,112,85,LAC,LAC,2014
35,"Fri, Jan 3, 2014",Dallas Mavericks,W,23,12,119,112,LAC,LAC,2014
36,"Sat, Jan 4, 2014",San Antonio Spurs,L,23,13,92,116,LAC,LAC,2014
37,"Mon, Jan 6, 2014",Orlando Magic,W,24,13,101,81,LAC,LAC,2014
38,"Wed, Jan 8, 2014",Boston Celtics,W,25,13,111,105,LAC,LAC,2014
39,"Fri, Jan 10, 2014",Los Angeles Lakers,W,26,13,123,87,LAC,LAC,2014
40,"Wed, Jan 15, 2014",Dallas Mavericks,W,27,13,129,127,LAC,LAC,2014
41,"Fri, Jan 17, 2014",New York Knicks,W,28,13,109,95,LAC,LAC,2014
42,"Sat, Jan 18, 2014",Indiana Pacers,L,28,14,92,106,LAC,LAC,2014
43,"Mon, Jan 20, 2014",Detroit Pistons,W,29,14,112,103,LAC,LAC,2014
44,"Wed, Jan 22, 2014",Charlotte Bobcats,L,29,15,91,95,LAC,LAC,2014
45,"Fri, Jan 24, 2014",Chicago Bulls,W,30,15,112,95,LAC,LAC,2014
46,"Sat, Jan 25, 2014",Toronto Raptors,W,31,15,126,118,LAC,LAC,2014
47,"Mon, Jan 27, 2014",Milwaukee Bucks,W,32,15,114,86,LAC,LAC,2014
48,"Wed, Jan 29, 2014",Washington Wizards,W,33,15,110,103,LAC,LAC,2014
49,"Thu, Jan 30, 2014",Golden State Warriors,L,33,16,92,111,LAC,LAC,2014
50,"Sat, Feb 1, 2014",Utah Jazz,W,34,16,102,87,LAC,LAC,2014
51,"Mon, Feb 3, 2014",Denver Nuggets,L,34,17,115,116,LAC,LAC,2014
52,"Wed, Feb 5, 2014",Miami Heat,L,34,18,112,116,LAC,LAC,2014
53,"Fri, Feb 7, 2014",Toronto Raptors,W,35,18,118,105,LAC,LAC,2014
54,"Sun, Feb 9, 2014",Philadelphia 76ers,W,36,18,123,78,LAC,LAC,2014
55,"Wed, Feb 12, 2014",Portland Trail Blazers,W,37,18,122,117,LAC,LAC,2014
56,"Tue, Feb 18, 2014",San Antonio Spurs,L,37,19,103,113,LAC,LAC,2014
57,"Fri, Feb 21, 2014",Memphis Grizzlies,L,37,20,96,102,LAC,LAC,2014
58,"Sun, Feb 23, 2014",Oklahoma City Thunder,W,38,20,125,117,LAC,LAC,2014
59,"Mon, Feb 24, 2014",New Orleans Pelicans,W,39,20,123,110,LAC,LAC,2014
60,"Wed, Feb 26, 2014",Houston Rockets,W,40,20,101,93,LAC,LAC,2014
61,"Sat, Mar 1, 2014",New Orleans Pelicans,W,41,20,108,76,LAC,LAC,2014
62,"Tue, Mar 4, 2014",Phoenix Suns,W,42,20,104,96,LAC,LAC,2014
63,"Thu, Mar 6, 2014",Los Angeles Lakers,W,43,20,142,94,LAC,LAC,2014
64,"Sat, Mar 8, 2014",Atlanta Hawks,W,44,20,109,108,LAC,LAC,2014
65,"Mon, Mar 10, 2014",Phoenix Suns,W,45,20,112,105,LAC,LAC,2014
66,"Wed, Mar 12, 2014",Golden State Warriors,W,46,20,111,98,LAC,LAC,2014
67,"Fri, Mar 14, 2014",Utah Jazz,W,47,20,96,87,LAC,LAC,2014
68,"Sun, Mar 16, 2014",Cleveland Cavaliers,W,48,20,102,80,LAC,LAC,2014
69,"Mon, Mar 17, 2014",Denver Nuggets,L,48,21,100,110,LAC,LAC,2014
70,"Sat, Mar 22, 2014",Detroit Pistons,W,49,21,112,103,LAC,LAC,2014
71,"Mon, Mar 24, 2014",Milwaukee Bucks,W,50,21,106,98,LAC,LAC,2014
72,"Wed, Mar 26, 2014",New Orleans Pelicans,L,50,22,96,98,LAC,LAC,2014
73,"Thu, Mar 27, 2014",Dallas Mavericks,W,51,22,109,103,LAC,LAC,2014
74,"Sat, Mar 29, 2014",Houston Rockets,W,52,22,118,107,LAC,LAC,2014
75,"Mon, Mar 31, 2014",Minnesota Timberwolves,W,53,22,114,104,LAC,LAC,2014
76,"Wed, Apr 2, 2014",Phoenix Suns,W,54,22,112,108,LAC,LAC,2014
77,"Thu, Apr 3, 2014",Dallas Mavericks,L,54,23,107,113,LAC,LAC,2014
78,"Sun, Apr 6, 2014",Los Angeles Lakers,W,55,23,120,97,LAC,LAC,2014
79,"Wed, Apr 9, 2014",Oklahoma City Thunder,L,55,24,101,107,LAC,LAC,2014
80,"Sat, Apr 12, 2014",Sacramento Kings,W,56,24,117,101,LAC,LAC,2014
81,"Tue, Apr 15, 2014",Denver Nuggets,W,57,24,117,105,LAC,LAC,2014
82,"Wed, Apr 16, 2014",Portland Trail Blazers,L,57,25,104,110,LAC,LAC,2014
1,"Thu, Oct 30, 2014",Oklahoma City Thunder,,1,0,93,90,LAC,LAC,2015
2,"Fri, Oct 31, 2014",Los Angeles Lakers,@,2,0,118,111,LAC,LAC,2015
3,"Sun, Nov 2, 2014",Sacramento Kings,,2,1,92,98,LAC,LAC,2015
4,"Mon, Nov 3, 2014",Utah Jazz,,3,1,107,101,LAC,LAC,2015
5,"Wed, Nov 5, 2014",Golden State Warriors,@,3,2,104,121,LAC,LAC,2015
6,"Sat, Nov 8, 2014",Portland Trail Blazers,,4,2,106,102,LAC,LAC,2015
7,"Mon, Nov 10, 2014",San Antonio Spurs,,4,3,85,89,LAC,LAC,2015
8,"Sat, Nov 15, 2014",Phoenix Suns,,5,3,120,107,LAC,LAC,2015
9,"Mon, Nov 17, 2014",Chicago Bulls,,5,4,89,105,LAC,LAC,2015
10,"Wed, Nov 19, 2014",Orlando Magic,@,6,4,114,90,LAC,LAC,2015
11,"Thu, Nov 20, 2014",Miami Heat,@,7,4,110,93,LAC,LAC,2015
12,"Sun, Nov 23, 2014",Memphis Grizzlies,@,7,5,91,107,LAC,LAC,2015
13,"Mon, Nov 24, 2014",Charlotte Hornets,@,8,5,113,92,LAC,LAC,2015
14,"Wed, Nov 26, 2014",Detroit Pistons,@,9,5,104,98,LAC,LAC,2015
15,"Fri, Nov 28, 2014",Houston Rockets,@,10,5,102,85,LAC,LAC,2015
16,"Sat, Nov 29, 2014",Utah Jazz,@,11,5,112,96,LAC,LAC,2015
17,"Mon, Dec 1, 2014",Minnesota Timberwolves,,12,5,127,101,LAC,LAC,2015
18,"Wed, Dec 3, 2014",Orlando Magic,,13,5,114,86,LAC,LAC,2015
19,"Sat, Dec 6, 2014",New Orleans Pelicans,,14,5,120,100,LAC,LAC,2015
20,"Mon, Dec 8, 2014",Phoenix Suns,,15,5,121,120,LAC,LAC,2015
21,"Wed, Dec 10, 2014",Indiana Pacers,@,16,5,103,96,LAC,LAC,2015
22,"Fri, Dec 12, 2014",Washington Wizards,@,16,6,96,104,LAC,LAC,2015
23,"Sat, Dec 13, 2014",Milwaukee Bucks,@,16,7,106,111,LAC,LAC,2015
24,"Mon, Dec 15, 2014",Detroit Pistons,,17,7,113,91,LAC,LAC,2015
25,"Wed, Dec 17, 2014",Indiana Pacers,,18,7,102,100,LAC,LAC,2015
26,"Fri, Dec 19, 2014",Denver Nuggets,@,18,8,106,109,LAC,LAC,2015
27,"Sat, Dec 20, 2014",Milwaukee Bucks,,19,8,106,102,LAC,LAC,2015
28,"Mon, Dec 22, 2014",San Antonio Spurs,@,19,9,118,125,LAC,LAC,2015
29,"Tue, Dec 23, 2014",Atlanta Hawks,@,19,10,104,107,LAC,LAC,2015
30,"Thu, Dec 25, 2014",Golden State Warriors,,20,10,100,86,LAC,LAC,2015
31,"Sat, Dec 27, 2014",Toronto Raptors,,20,11,98,110,LAC,LAC,2015
32,"Mon, Dec 29, 2014",Utah Jazz,,21,11,101,97,LAC,LAC,2015
33,"Wed, Dec 31, 2014",New York Knicks,,22,11,99,78,LAC,LAC,2015
34,"Sat, Jan 3, 2015",Philadelphia 76ers,,23,11,127,91,LAC,LAC,2015
35,"Mon, Jan 5, 2015",Atlanta Hawks,,23,12,98,107,LAC,LAC,2015
36,"Wed, Jan 7, 2015",Los Angeles Lakers,,24,12,114,89,LAC,LAC,2015
37,"Sat, Jan 10, 2015",Dallas Mavericks,,25,12,120,100,LAC,LAC,2015
38,"Sun, Jan 11, 2015",Miami Heat,,25,13,90,104,LAC,LAC,2015
39,"Wed, Jan 14, 2015",Portland Trail Blazers,@,26,13,100,94,LAC,LAC,2015
40,"Fri, Jan 16, 2015",Cleveland Cavaliers,,26,14,121,126,LAC,LAC,2015
41,"Sat, Jan 17, 2015",Sacramento Kings,@,27,14,117,108,LAC,LAC,2015
42,"Mon, Jan 19, 2015",Boston Celtics,,28,14,102,93,LAC,LAC,2015
43,"Thu, Jan 22, 2015",Brooklyn Nets,,29,14,123,84,LAC,LAC,2015
44,"Sun, Jan 25, 2015",Phoenix Suns,@,30,14,120,100,LAC,LAC,2015
45,"Mon, Jan 26, 2015",Denver Nuggets,,31,14,102,98,LAC,LAC,2015
46,"Wed, Jan 28, 2015",Utah Jazz,@,32,14,94,89,LAC,LAC,2015
47,"Fri, Jan 30, 2015",New Orleans Pelicans,@,32,15,103,108,LAC,LAC,2015
48,"Sat, Jan 31, 2015",San Antonio Spurs,@,33,15,105,85,LAC,LAC,2015
49,"Mon, Feb 2, 2015",Brooklyn Nets,@,33,16,100,102,LAC,LAC,2015
50,"Thu, Feb 5, 2015",Cleveland Cavaliers,@,33,17,94,105,LAC,LAC,2015
51,"Fri, Feb 6, 2015",Toronto Raptors,@,33,18,107,123,LAC,LAC,2015
52,"Sun, Feb 8, 2015",Oklahoma City Thunder,@,33,19,108,131,LAC,LAC,2015
53,"Mon, Feb 9, 2015",Dallas Mavericks,@,34,19,115,98,LAC,LAC,2015
54,"Wed, Feb 11, 2015",Houston Rockets,,35,19,110,95,LAC,LAC,2015
55,"Thu, Feb 19, 2015",San Antonio Spurs,,36,19,119,115,LAC,LAC,2015
56,"Sat, Feb 21, 2015",Sacramento Kings,,37,19,126,99,LAC,LAC,2015
57,"Mon, Feb 23, 2015",Memphis Grizzlies,,37,20,87,90,LAC,LAC,2015
58,"Wed, Feb 25, 2015",Houston Rockets,@,37,21,105,110,LAC,LAC,2015
59,"Fri, Feb 27, 2015",Memphis Grizzlies,@,38,21,97,79,LAC,LAC,2015
60,"Sun, Mar 1, 2015",Chicago Bulls,@,39,21,96,86,LAC,LAC,2015
61,"Mon, Mar 2, 2015",Minnesota Timberwolves,@,40,21,110,105,LAC,LAC,2015
62,"Wed, Mar 4, 2015",Portland Trail Blazers,,40,22,93,98,LAC,LAC,2015
63,"Sun, Mar 8, 2015",Golden State Warriors,@,40,23,98,106,LAC,LAC,2015
64,"Mon, Mar 9, 2015",Minnesota Timberwolves,,41,23,89,76,LAC,LAC,2015
65,"Wed, Mar 11, 2015",Oklahoma City Thunder,@,42,23,120,108,LAC,LAC,2015
66,"Fri, Mar 13, 2015",Dallas Mavericks,@,42,24,99,129,LAC,LAC,2015
67,"Sun, Mar 15, 2015",Houston Rockets,,42,25,98,100,LAC,LAC,2015
68,"Tue, Mar 17, 2015",Charlotte Hornets,,43,25,99,92,LAC,LAC,2015
69,"Wed, Mar 18, 2015",Sacramento Kings,@,44,25,116,105,LAC,LAC,2015
70,"Fri, Mar 20, 2015",Washington Wizards,,45,25,113,99,LAC,LAC,2015
71,"Sun, Mar 22, 2015",New Orleans Pelicans,,46,25,107,100,LAC,LAC,2015
72,"Wed, Mar 25, 2015",New York Knicks,@,47,25,111,80,LAC,LAC,2015
73,"Fri, Mar 27, 2015",Philadelphia 76ers,@,48,25,119,98,LAC,LAC,2015
74,"Sun, Mar 29, 2015",Boston Celtics,@,49,25,119,106,LAC,LAC,2015
75,"Tue, Mar 31, 2015",Golden State Warriors,,49,26,106,110,LAC,LAC,2015
76,"Wed, Apr 1, 2015",Portland Trail Blazers,@,50,26,126,122,LAC,LAC,2015
77,"Sat, Apr 4, 2015",Denver Nuggets,@,51,26,107,92,LAC,LAC,2015
78,"Sun, Apr 5, 2015",Los Angeles Lakers,@,52,26,106,78,LAC,LAC,2015
79,"Tue, Apr 7, 2015",Los Angeles Lakers,,53,26,105,100,LAC,LAC,2015
80,"Sat, Apr 11, 2015",Memphis Grizzlies,,54,26,94,86,LAC,LAC,2015
81,"Mon, Apr 13, 2015",Denver Nuggets,,55,26,110,103,LAC,LAC,2015
82,"Tue, Apr 14, 2015",Phoenix Suns,@,56,26,112,101,LAC,LAC,2015
1,"Wed, Oct 28, 2015",Sacramento Kings,W,1,0,111,104,LAC,LAC,2016
2,"Thu, Oct 29, 2015",Dallas Mavericks,W,2,0,104,88,LAC,LAC,2016
3,"Sat, Oct 31, 2015",Sacramento Kings,W,3,0,114,109,LAC,LAC,2016
4,"Mon, Nov 2, 2015",Phoenix Suns,W,4,0,102,96,LAC,LAC,2016
5,"Wed, Nov 4, 2015",Golden State Warriors,L,4,1,108,112,LAC,LAC,2016
6,"Sat, Nov 7, 2015",Houston Rockets,L,4,2,105,109,LAC,LAC,2016
7,"Mon, Nov 9, 2015",Memphis Grizzlies,W,5,2,94,92,LAC,LAC,2016
8,"Wed, Nov 11, 2015",Dallas Mavericks,L,5,3,108,118,LAC,LAC,2016
9,"Thu, Nov 12, 2015",Phoenix Suns,L,5,4,104,118,LAC,LAC,2016
10,"Sat, Nov 14, 2015",Detroit Pistons,W,6,4,101,96,LAC,LAC,2016
11,"Thu, Nov 19, 2015",Golden State Warriors,L,6,5,117,124,LAC,LAC,2016
12,"Fri, Nov 20, 2015",Portland Trail Blazers,L,6,6,91,102,LAC,LAC,2016
13,"Sun, Nov 22, 2015",Toronto Raptors,L,6,7,80,91,LAC,LAC,2016
14,"Tue, Nov 24, 2015",Denver Nuggets,W,7,7,111,94,LAC,LAC,2016
15,"Wed, Nov 25, 2015",Utah Jazz,L,7,8,91,102,LAC,LAC,2016
16,"Fri, Nov 27, 2015",New Orleans Pelicans,W,8,8,111,90,LAC,LAC,2016
17,"Sun, Nov 29, 2015",Minnesota Timberwolves,W,9,8,107,99,LAC,LAC,2016
18,"Mon, Nov 30, 2015",Portland Trail Blazers,W,10,8,102,87,LAC,LAC,2016
19,"Wed, Dec 2, 2015",Indiana Pacers,L,10,9,91,103,LAC,LAC,2016
20,"Sat, Dec 5, 2015",Orlando Magic,W,11,9,103,101,LAC,LAC,2016
21,"Mon, Dec 7, 2015",Minnesota Timberwolves,W,12,9,110,106,LAC,LAC,2016
22,"Wed, Dec 9, 2015",Milwaukee Bucks,W,13,9,109,95,LAC,LAC,2016
23,"Thu, Dec 10, 2015",Chicago Bulls,L,13,10,80,83,LAC,LAC,2016
24,"Sat, Dec 12, 2015",Brooklyn Nets,W,14,10,105,100,LAC,LAC,2016
25,"Mon, Dec 14, 2015",Detroit Pistons,W,15,10,105,103,LAC,LAC,2016
26,"Wed, Dec 16, 2015",Milwaukee Bucks,W,16,10,103,90,LAC,LAC,2016
27,"Fri, Dec 18, 2015",San Antonio Spurs,L,16,11,107,115,LAC,LAC,2016
28,"Sat, Dec 19, 2015",Houston Rockets,L,16,12,97,107,LAC,LAC,2016
29,"Mon, Dec 21, 2015",Oklahoma City Thunder,L,16,13,99,100,LAC,LAC,2016
30,"Fri, Dec 25, 2015",Los Angeles Lakers,W,17,13,94,84,LAC,LAC,2016
31,"Sat, Dec 26, 2015",Utah Jazz,W,18,13,109,104,LAC,LAC,2016
32,"Mon, Dec 28, 2015",Washington Wizards,W,19,13,108,91,LAC,LAC,2016
33,"Wed, Dec 30, 2015",Charlotte Hornets,W,20,13,122,117,LAC,LAC,2016
34,"Thu, Dec 31, 2015",New Orleans Pelicans,W,21,13,95,89,LAC,LAC,2016
35,"Sat, Jan 2, 2016",Philadelphia 76ers,W,22,13,130,99,LAC,LAC,2016
36,"Wed, Jan 6, 2016",Portland Trail Blazers,W,23,13,109,98,LAC,LAC,2016
37,"Sat, Jan 9, 2016",Charlotte Hornets,W,24,13,97,83,LAC,LAC,2016
38,"Sun, Jan 10, 2016",New Orleans Pelicans,W,25,13,114,111,LAC,LAC,2016
39,"Wed, Jan 13, 2016",Miami Heat,W,26,13,104,90,LAC,LAC,2016
40,"Sat, Jan 16, 2016",Sacramento Kings,L,26,14,103,110,LAC,LAC,2016
41,"Mon, Jan 18, 2016",Houston Rockets,W,27,14,140,132,LAC,LAC,2016
42,"Thu, Jan 21, 2016",Cleveland Cavaliers,L,27,15,102,115,LAC,LAC,2016
43,"Fri, Jan 22, 2016",New York Knicks,W,28,15,116,88,LAC,LAC,2016
44,"Sun, Jan 24, 2016",Toronto Raptors,L,28,16,94,112,LAC,LAC,2016
45,"Tue, Jan 26, 2016",Indiana Pacers,W,29,16,91,89,LAC,LAC,2016
46,"Wed, Jan 27, 2016",Atlanta Hawks,W,30,16,85,83,LAC,LAC,2016
47,"Fri, Jan 29, 2016",Los Angeles Lakers,W,31,16,105,93,LAC,LAC,2016
48,"Sun, Jan 31, 2016",Chicago Bulls,W,32,16,120,93,LAC,LAC,2016
49,"Wed, Feb 3, 2016",Minnesota Timberwolves,L,32,17,102,108,LAC,LAC,2016
50,"Fri, Feb 5, 2016",Orlando Magic,W,33,17,107,93,LAC,LAC,2016
51,"Sun, Feb 7, 2016",Miami Heat,W,34,17,100,93,LAC,LAC,2016
52,"Mon, Feb 8, 2016",Philadelphia 76ers,W,35,17,98,92,LAC,LAC,2016
53,"Wed, Feb 10, 2016",Boston Celtics,L,35,18,134,139,LAC,LAC,2016
54,"Thu, Feb 18, 2016",San Antonio Spurs,W,36,18,105,86,LAC,LAC,2016
55,"Sat, Feb 20, 2016",Golden State Warriors,L,36,19,112,115,LAC,LAC,2016
56,"Mon, Feb 22, 2016",Phoenix Suns,W,37,19,124,84,LAC,LAC,2016
57,"Wed, Feb 24, 2016",Denver Nuggets,L,37,20,81,87,LAC,LAC,2016
58,"Fri, Feb 26, 2016",Sacramento Kings,W,38,20,117,107,LAC,LAC,2016
59,"Mon, Feb 29, 2016",Brooklyn Nets,W,39,20,105,95,LAC,LAC,2016
60,"Wed, Mar 2, 2016",Oklahoma City Thunder,W,40,20,103,98,LAC,LAC,2016
61,"Sat, Mar 5, 2016",Atlanta Hawks,L,40,21,97,107,LAC,LAC,2016
62,"Mon, Mar 7, 2016",Dallas Mavericks,W,41,21,109,90,LAC,LAC,2016
63,"Wed, Mar 9, 2016",Oklahoma City Thunder,L,41,22,108,120,LAC,LAC,2016
64,"Fri, Mar 11, 2016",New York Knicks,W,42,22,101,94,LAC,LAC,2016
65,"Sun, Mar 13, 2016",Cleveland Cavaliers,L,42,23,90,114,LAC,LAC,2016
66,"Tue, Mar 15, 2016",San Antonio Spurs,L,42,24,87,108,LAC,LAC,2016
67,"Wed, Mar 16, 2016",Houston Rockets,W,43,24,122,106,LAC,LAC,2016
68,"Sat, Mar 19, 2016",Memphis Grizzlies,L,43,25,102,113,LAC,LAC,2016
69,"Sun, Mar 20, 2016",New Orleans Pelicans,L,43,26,105,109,LAC,LAC,2016
70,"Wed, Mar 23, 2016",Golden State Warriors,L,43,27,98,114,LAC,LAC,2016
71,"Thu, Mar 24, 2016",Portland Trail Blazers,W,44,27,96,94,LAC,LAC,2016
72,"Sun, Mar 27, 2016",Denver Nuggets,W,45,27,105,90,LAC,LAC,2016
73,"Mon, Mar 28, 2016",Boston Celtics,W,46,27,114,90,LAC,LAC,2016
74,"Wed, Mar 30, 2016",Minnesota Timberwolves,W,47,27,99,79,LAC,LAC,2016
75,"Thu, Mar 31, 2016",Oklahoma City Thunder,L,47,28,117,119,LAC,LAC,2016
76,"Sun, Apr 3, 2016",Washington Wizards,W,48,28,114,109,LAC,LAC,2016
77,"Tue, Apr 5, 2016",Los Angeles Lakers,W,49,28,103,81,LAC,LAC,2016
78,"Wed, Apr 6, 2016",Los Angeles Lakers,W,50,28,91,81,LAC,LAC,2016
79,"Fri, Apr 8, 2016",Utah Jazz,W,51,28,102,99,LAC,LAC,2016
80,"Sun, Apr 10, 2016",Dallas Mavericks,W,52,28,98,91,LAC,LAC,2016
81,"Tue, Apr 12, 2016",Memphis Grizzlies,W,53,28,110,84,LAC,LAC,2016
82,"Wed, Apr 13, 2016",Phoenix Suns,L,53,29,105,114,LAC,LAC,2016
1,"Thu, Oct 27, 2016",Portland Trail Blazers,W,1,0,114,106,LAC,LAC,2017
2,"Sun, Oct 30, 2016",Utah Jazz,W,2,0,88,75,LAC,LAC,2017
3,"Mon, Oct 31, 2016",Phoenix Suns,W,3,0,116,98,LAC,LAC,2017
4,"Wed, Nov 2, 2016",Oklahoma City Thunder,L,3,1,83,85,LAC,LAC,2017
